3/18/2017,Paradox Engine,Aether Revolt,AER,9.22,1.54,16.19,7.87
3/19/2017,Paradox Engine,Aether Revolt,AER,9.2,1.69,16.45,7.59
3/20/2017,Paradox Engine,Aether Revolt,AER,9.02,1.7,16.35,7.46
3/21/2017,Paradox Engine,Aether Revolt,AER,8.99,1.75,16.15,7.46
3/22/2017,Paradox Engine,Aether Revolt,AER,9,1.74,16.45,7.87
3/23/2017,Paradox Engine,Aether Revolt,AER,8.99,1.74,16.94,8
3/24/2017,Paradox Engine,Aether Revolt,AER,8.99,1.84,16.76,8
3/25/2017,Paradox Engine,Aether Revolt,AER,8.99,1.94,16.94,8
3/26/2017,Paradox Engine,Aether Revolt,AER,8.99,2.19,16.97,7.86
3/27/2017,Paradox Engine,Aether Revolt,AER,8.99,2.34,16.99,7.86
3/28/2017,Paradox Engine,Aether Revolt,AER,9,2.24,16.45,7.86
3/29/2017,Paradox Engine,Aether Revolt,AER,9.09,2.37,16.69,7.86
3/30/2017,Paradox Engine,Aether Revolt,AER,9,2.31,16.25,8.14
3/31/2017,Paradox Engine,Aether Revolt,AER,9,2.49,16.24,7.99
4/1/2017,Paradox Engine,Aether Revolt,AER,9,2.51,16.24,8.27
4/2/2017,Paradox Engine,Aether Revolt,AER,9.06,2.54,16.24,8.55
4/3/2017,Paradox Engine,Aether Revolt,AER,9.14,2.64,16.24,8.55
4/4/2017,Paradox Engine,Aether Revolt,AER,8.99,2.73,16.25,8.26
4/5/2017,Paradox Engine,Aether Revolt,AER,8.99,2.74,16.25,8.26
4/6/2017,Paradox Engine,Aether Revolt,AER,8.93,2.82,16.11,8.26
4/7/2017,Paradox Engine,Aether Revolt,AER,8.98,2.81,16.18,8.41
4/8/2017,Paradox Engine,Aether Revolt,AER,8.98,2.76,16.24,8.12
4/9/2017,Paradox Engine,Aether Revolt,AER,8.96,2.73,16.11,8.27
4/10/2017,Paradox Engine,Aether Revolt,AER,9.01,2.51,16.15,8.27
4/11/2017,Paradox Engine,Aether Revolt,AER,9.09,2.28,16.11,8.41
4/12/2017,Paradox Engine,Aether Revolt,AER,9.07,1.99,16.06,8.41
4/13/2017,Paradox Engine,Aether Revolt,AER,9.09,1.72,16,8.26
4/14/2017,Paradox Engine,Aether Revolt,AER,9.02,1.66,16.11,8.25
4/15/2017,Paradox Engine,Aether Revolt,AER,9.02,1.53,16.06,8.25
4/16/2017,Paradox Engine,Aether Revolt,AER,9.02,1.65,16,8.11
4/17/2017,Paradox Engine,Aether Revolt,AER,9,1.72,15.99,8.26
4/18/2017,Paradox Engine,Aether Revolt,AER,8.99,1.84,15.98,8.26
4/19/2017,Paradox Engine,Aether Revolt,AER,8.99,1.83,15.58,8.7
4/20/2017,Paradox Engine,Aether Revolt,AER,8.95,1.92,15.97,8.7
4/21/2017,Paradox Engine,Aether Revolt,AER,8.95,1.91,15.98,8.7
4/22/2017,Paradox Engine,Aether Revolt,AER,8.95,1.94,15.97,8.7
4/23/2017,Paradox Engine,Aether Revolt,AER,8.95,2.04,15.97,8.53
4/24/2017,Paradox Engine,Aether Revolt,AER,8.93,2.37,15.59,8.25
4/25/2017,Paradox Engine,Aether Revolt,AER,8.86,2.34,15.52,8.25
4/26/2017,Paradox Engine,Aether Revolt,AER,8.94,2.48,15.52,8.25
4/27/2017,Paradox Engine,Aether Revolt,AER,8.86,2.42,15.95,8.25
4/28/2017,Paradox Engine,Aether Revolt,AER,8.82,2.77,15.98,8.11
4/29/2017,Paradox Engine,Aether Revolt,AER,8.86,2.57,15.99,8.11
4/30/2017,Paradox Engine,Aether Revolt,AER,8.8,2.83,15.99,8.11
5/1/2017,Paradox Engine,Aether Revolt,AER,8.73,2.47,15.98,8.11
5/2/2017,Paradox Engine,Aether Revolt,AER,8.79,2.54,15.95,8.11
5/3/2017,Paradox Engine,Aether Revolt,AER,8.65,2.54,15.95,8.11
5/4/2017,Paradox Engine,Aether Revolt,AER,8.65,2.57,15.52,7.82
5/5/2017,Paradox Engine,Aether Revolt,AER,8.55,2.66,15.01,7.82
5/6/2017,Paradox Engine,Aether Revolt,AER,8.63,2.85,15.01,7.83
5/7/2017,Paradox Engine,Aether Revolt,AER,8.55,3.19,15.01,7.83
